Name,Allegiances,Death Year,Book of Death,Death Chapter,Book Intro Chapter,Gender,Nobility,GoT,CoK,SoS,FfC,DwD
Addam Marbrand,Lannister,,,,56.0,1,1,1,1,1,1,0
Aegon Frey (Jinglebell),None,299.0,3.0,51.0,49.0,1,1,0,0,1,0,0
Aegon Targaryen,House Targaryen,,,,5.0,1,1,0,0,0,0,1
Adrack Humble,House Greyjoy,300.0,5.0,20.0,20.0,1,1,0,0,0,0,1
Aemon Costayne,Lannister,,,,,1,1,0,0,1,0,0
Aemon Estermont,Baratheon,,,,,1,1,0,1,1,0,0
Aemon Targaryen (son of Maekar I),Night's Watch,300.0,4.0,35.0,21.0,1,1,1,0,1,1,0
Aenys Frey,None,300.0,5.0,,59.0,0,1,1,1,1,0,1
Aeron Greyjoy,House Greyjoy,,,,11.0,1,1,0,1,0,1,0
Aethan,Night's Watch,,,,0.0,1,0,0,0,1,0,0
